Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
threescore.flights,available,54,1%,10,Mathematics,,,
iii.flights,available,54,24%,3,Mathematics,,,
vii.flights,available,54,13%,3,Mathematics,,,
abasic.flights,available,54,1%,6,Science,,,
twoscore.flights,available,54,2%,8,Mathematics,,,
quaternion.flights,available,54,6%,10,Mathematics,,,
scratchy.flights,available,54,3%,8,Fashion,,,
admonitory.flights,available,54,0%,10,"Business,Education,Healthcare",,,
adducent.flights,available,54,1%,8,"Engineering,Mathematics,Science",,,
abient.flights,available,54,1%,6,Science,,,
topnotch.flights,available,54,18%,8,Business,,,
deserted.flights,available,54,3%,8,"Hospitality,Real Estate",,,
abaxial.flights,available,54,1%,7,Science,,,
abducens.flights,available,54,1%,8,Medicine,,,
accursed.flights,available,54,3%,8,"Entertainment,Media,Religion",,,
adpressed.flights,available,54,0%,9,"Agriculture,Manufacturing,Retail",,,
adaxial.flights,available,54,2%,7,Science,,,
adductive.flights,available,54,0%,9,"Engineering,Mathematics,Science",,,
acoustical.flights,available,54,4%,10,Science,,,
achy.flights,available,54,3%,4,Healthcare,,,
abatable.flights,available,54,1%,8,Law,,,
adjuratory.flights,available,54,0%,10,"Law,Politics,Religion",,,
actuated.flights,available,54,2%,8,"Automotive,Manufacturing,Technology",,,
abhorrent.flights,available,54,1%,9,Humanities,,,
deuceace.flights,available,54,2%,9,Sports,,,
accentual.flights,available,54,3%,9,"Arts,Entertainment",,,
quaternity.flights,available,54,4%,10,Mathematics,,,
adducting.flights,available,54,1%,9,"Engineering,Mathematics,Science",,,
ternion.flights,available,54,3%,7,Mathematics,,,
quintuplet.flights,available,54,1%,10,"Healthcare,Medicine,Science",,,
quatern.flights,available,54,2%,7,Mathematics,,,
xxx.flights,available,53,30%,3,"Arts,Entertainment,Media",,,
septet.flights,available,53,1%,6,General,,,
sestet.flights,available,53,1%,6,Arts,,,
lxxv.flights,available,52,1%,4,Mathematics,,,
lxxi.flights,available,52,1%,4,Mathematics,,,
xcviii.flights,available,52,1%,6,Mathematics,,,
lxxxiv.flights,available,52,1%,6,Mathematics,,,
lxxvi.flights,available,52,1%,5,Mathematics,,,
lxv.flights,available,52,5%,3,Mathematics,,,
eightyone.flights,available,52,3%,10,Mathematics,,,
lxi.flights,available,52,5%,3,Mathematics,,,
ninetysix.flights,available,52,4%,10,Mathematics,,,
abusive.flights,available,52,3%,7,"Healthcare,Law",,,
xciv.flights,available,52,2%,4,Mathematics,,,
lxvi.flights,available,52,3%,4,Mathematics,,,
abstruse.flights,available,52,5%,8,"Humanities,Mathematics,Science",,,
lxxxvi.flights,available,52,1%,6,Mathematics,,,
detestable.flights,available,52,1%,10,Humanities,,,
chagrined.flights,available,52,1%,9,Humanities,,,
lxxxi.flights,available,52,1%,5,Mathematics,,,
abysmal.flights,available,52,4%,7,"Arts,Entertainment,Media",,,
ninetyone.flights,available,52,5%,10,Mathematics,,,
odious.flights,available,52,2%,6,"Entertainment,Humanities",,,
xciii.flights,available,52,1%,5,Mathematics,,,
adenoidal.flights,available,52,1%,9,"Health and Fitness,Medicine,Science",,,
tierce.flights,available,52,3%,6,General,,,
lxxiii.flights,available,52,1%,6,Mathematics,,,
littlejoe.flights,available,52,2%,10,"Entertainment,Media",,,
lxiv.flights,available,52,3%,4,Mathematics,,,
repulsive.flights,available,52,1%,9,Humanities,,,
xcv.flights,available,52,7%,3,Mathematics,,,
sixtyfour.flights,available,52,3%,10,Mathematics,,,
sixtysix.flights,available,52,4%,9,Mathematics,,,
ablated.flights,available,52,1%,7,Science,,,
sixtytwo.flights,available,52,3%,9,Mathematics,,,
ixl.flights,available,52,9%,3,Mathematics,,,
decumbent.flights,available,52,1%,9,"Healthcare,Medicine,Science",,,
repugnant.flights,available,52,1%,9,Humanities,,,
abominable.flights,available,52,2%,10,"Entertainment,Humanities",,,
lxii.flights,available,52,1%,4,Mathematics,,,
lxviii.flights,available,52,1%,6,Mathematics,,,
lxvii.flights,available,52,1%,5,Mathematics,,,
xcvii.flights,available,52,1%,5,Mathematics,,,
lxxxiii.flights,available,52,1%,7,Mathematics,,,
ixc.flights,available,52,5%,3,Mathematics,,,
eightytwo.flights,available,52,4%,10,Mathematics,,,
lxxxii.flights,available,52,1%,6,Mathematics,,,
xcvi.flights,available,52,2%,4,Mathematics,,,
ninetytwo.flights,available,52,4%,10,Mathematics,,,
xci.flights,available,52,4%,3,Mathematics,,,
lxxxvii.flights,available,52,1%,7,Mathematics,,,
aboulic.flights,available,52,1%,7,Medicine,,,
lxxxv.flights,available,52,1%,5,Mathematics,,,
uphill.flights,available,52,7%,6,"Sports,Transportation,Travel",,,
lxiii.flights,available,52,2%,5,Mathematics,,,
xcii.flights,available,52,2%,4,Mathematics,,,
sixtyfive.flights,available,52,3%,10,Mathematics,,,
lxxiv.flights,available,52,1%,5,Mathematics,,,
lxxvii.flights,available,52,2%,6,Mathematics,,,
lxxii.flights,available,52,1%,5,Mathematics,,,
scummy.flights,available,50,1%,6,Humanities,,,
aculeated.flights,available,50,0%,9,"Engineering,Medicine,Science",,,
acerose.flights,available,50,1%,7,Science,,,
abranchial.flights,available,50,0%,10,Science,,,
acapnotic.flights,available,50,0%,9,"Healthcare,Medicine,Science",,,
acquitted.flights,available,50,1%,9,Law,,,
abactinal.flights,available,50,0%,9,Science,,,
adactylous.flights,available,50,0%,10,Science,,,
acaudal.flights,available,50,1%,7,"Agriculture,Science",,,
vinegary.flights,available,50,1%,8,Food and Beverage,,,
adhominem.flights,available,50,2%,10,"Humanities,Law,Politics",,,
acerb.flights,available,50,2%,5,Science,,,
abbatial.flights,available,50,0%,8,Religion,,,
acetose.flights,available,50,1%,7,Science,,,
broached.flights,available,50,0%,8,Food and Beverage,,,
cinque.flights,available,50,7%,6,Mathematics,,,
abomasal.flights,available,50,0%,8,Agriculture,,,
lxx.flights,available,50,5%,3,Mathematics,,,
acellular.flights,available,50,1%,9,Science,,,
aborticide.flights,available,50,0%,10,Medicine,,,
acapnic.flights,available,50,0%,7,"Healthcare,Medicine,Science",,,
trine.flights,available,50,11%,5,"General,Religion",,,
abducting.flights,available,50,0%,9,Medicine,,,
needlelike.flights,available,50,0%,10,"Engineering,Medicine,Science",,,
gillless.flights,available,50,0%,9,Science,,,
spinous.flights,available,50,1%,7,"Agriculture,Science",,,
quint.flights,available,50,13%,5,"Arts,Entertainment",,,
acerbic.flights,available,50,2%,7,"Arts,Humanities,Media",,,
triplet.flights,available,50,8%,7,Science,,,
acetous.flights,available,50,1%,7,Science,,,
ogdoad.flights,available,50,1%,6,Mathematics,,,
abdicable.flights,available,50,0%,9,Law,,,
lxxxviii.flights,available,48,1%,8,Mathematics,,,
ilxx.flights,available,48,1%,4,Mathematics,,,
apriori.flights,available,48,13%,8,Mathematics,,,
notguilty.flights,available,48,5%,10,Law,,,
ilxxx.flights,available,48,1%,5,Mathematics,,,
abstracted.flights,available,48,5%,10,"Arts,Humanities,Science",,,
abyssal.flights,available,48,12%,7,"Arts,Entertainment,Media",,,
execrable.flights,available,48,0%,9,"Entertainment,Humanities",,,
vinegarish.flights,available,46,1%,10,Food and Beverage,,,
acicular.flights,available,46,2%,8,Science,,,
achromous.flights,available,46,1%,9,Science,,,
acanthous.flights,available,46,0%,9,"Agriculture,Science",,,
acetonic.flights,available,46,1%,8,Science,,,
achenial.flights,available,46,1%,8,Science,,,
acephalous.flights,available,46,1%,10,Science,,,
acanthotic.flights,available,46,0%,10,"Agriculture,Science",,,
acetylic.flights,available,46,1%,8,Science,,,
acapnial.flights,available,46,0%,8,"Healthcare,Medicine,Science",,,
acaudate.flights,available,46,1%,8,"Agriculture,Science",,,
stemless.flights,available,46,2%,8,"Agriculture,Science",,,
stripling.flights,available,46,2%,9,"Education,Entertainment,Healthcare",,,
achromic.flights,available,46,2%,8,Science,,,
quaternary.flights,available,46,3%,10,Mathematics,,,
acetylenic.flights,available,46,1%,10,Science,,,
acarpous.flights,available,46,0%,8,"Agriculture,Science",,,
acheronian.flights,available,46,1%,10,Humanities,,,
acarpelous.flights,available,46,0%,10,"Agriculture,Science",,,
theabsurd.flights,available,46,1%,10,"Arts,Entertainment,Media",,,
acetabular.flights,available,46,1%,10,Science,,,
acanthoid.flights,available,46,1%,9,"Agriculture,Science",,,
cotyloid.flights,available,46,1%,8,Science,,,
acherontic.flights,available,44,1%,10,Humanities,,,
cotyloidal.flights,available,44,1%,10,Science,,,
accusatory.flights,available,44,1%,10,Law,,,
phoebe.flights,available,41,14%,6,Science,,,
abscessed.flights,available,41,0%,9,Healthcare,,,
accusive.flights,available,40,1%,8,Law,,,
accurst.flights,available,40,1%,7,Religion,,,
scurrilous.flights,available,40,1%,10,"Entertainment,Media,Politics",,,
